"Name","Commuting by Means of Transportation"
"Description","The share of individuals who worked in the last week by their usual means of transportation.&nbsp;""Public transit"" includes subway, bus, railroad, and ferry; ""Carpool, Taxi, Other"" includes motorcycle or any other method not listed."
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Table B08006 (2012-2019); retrieved from&nbsp;<a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>."
"Notes",""

Location,Means of Transportation,TimeFrame,DataFormat,Data,Fips
Flatbush/Midwood,Bicycle,2018,Percent,0.00986,314
Sheepshead Bay,Bicycle,2018,Percent,0.00344,315
East Flatbush,Bicycle,2018,Percent,0.00551,317
Canarsie,Bicycle,2018,Percent,0.007,318
Astoria,Bicycle,2018,Percent,0.01166,401
Sunnyside/Woodside,Bicycle,2018,Percent,0.01065,402
Jackson Heights,Bicycle,2018,Percent,0.0167,403
Elmhurst/Corona,Bicycle,2018,Percent,0.00269,404
Ridgewood/Glendale,Bicycle,2018,Percent,0.00932,405
Rego Park/Forest Hills,Bicycle,2018,Percent,0.00148,406
Flushing,Bicycle,2018,Percent,0.00356,407
Fresh Meadows/Briarwood,Bicycle,2018,Percent,0.00088,408
Woodhaven,Bicycle,2018,Percent,0.00362,409
Howard Beach,Bicycle,2018,Percent,0.00529,410
Bayside,Bicycle,2018,Percent,0,411
Jamaica/St. Albans,Bicycle,2018,Percent,0.0018,412
Queens Village,Bicycle,2018,Percent,0.00233,413
The Rockaways,Bicycle,2018,Percent,0.01248,414
St. George,Bicycle,2018,Percent,0.00877,501
South Beach,Bicycle,2018,Percent,0.00447,502
Tottenville,Bicycle,2018,Percent,0.00126,503
Bronx,Bicycle,2018,Percent,0.00238,36005
Brooklyn,Bicycle,2018,Percent,0.0189,36047
Manhattan,Bicycle,2018,Percent,0.02313,36061
Queens,Bicycle,2018,Percent,0.00597,36081
Staten Island,Bicycle,2018,Percent,0.00487,36085
New York City,Bicycle,2018,Percent,0.01311,3651000
Greenwich Village,"Carpool, Taxi, Other",2012,Percent,0.05742,102
Lower East Side,"Carpool, Taxi, Other",2012,Percent,0.03689,103
